predictor,coef,std_err,z_statistic,p_value,odds_ratio,ci_95_lower,ci_95_upper
Intercept,-0.9808881851726384,0.03163349363812274,-31.007899297930607,4.218478354810153e-211,0.37497790109083257,0.35243513303988344,0.39896256963284704
|Delta_C_B| (Standardized),-0.02985772528085967,0.03677139645171718,-0.8119823602583184,0.4168017533610985,0.9705836132366262,0.9030942669027083,1.04311652150589
|log2FC| (Standardized),0.007375940422525596,0.03141253359408072,0.23480883515602496,0.8143571099810024,1.0074032096753147,0.94725069622749,1.07137554071578
Degree (Standardized),0.05804073757814166,0.032794434859831474,1.769834968226067,0.07675463678581017,1.0597581668120704,0.993784224716376,1.130111893701479
