gene_symbol,gene_orf,degree,abs_delta_cb,delta_cb_plus,delta_cb_minus,cb_baseline,cb_stress,abs_log2fc,ethanol_phenotype,cb_zscore,predicted_log_odds_contribution,weight_perm_pval,temporal_null_pval,rank_abs_delta_cb,rank_delta_cb_plus,rank_delta_cb_minus,mean_expr,var_expr
SMT3,YDR510W,98,0.07046936454407195,-0.07046936454407195,0.07046936454407195,0.006479653507901871,0.07694901805197382,0.0,0,35.84836945494477,-29.108243641438264,0.0196078431372549,1.0,1,5043,1,0.0,0.0
RPS27A,YKL156W,272,0.04012464819529145,-0.04012464819529145,0.04012464819529145,3.280355747868622e-05,0.040157451752770135,0.0,0,20.300827957356866,-16.483914200012684,0.0196078431372549,1.0,2,5042,2,0.0,0.0
PUF3,YLL013C,656,0.030331227112282477,0.030331227112282477,-0.030331227112282477,0.1753980789273985,0.14506685181511603,1.0090650459125603,0,15.283031154074058,-12.409551708386465,1.0,0.1568627450980392,3,1,5043,6.843415182904025,0.2648512230505363
DHH1,YDL160C,1139,0.02756798056313492,0.02756798056313492,-0.02756798056313492,0.26540852807354953,0.2378405475104146,0.6229113251202847,1,13.867242985315485,-11.259956689492077,0.803921568627451,1.0,4,2,5042,8.220348964916383,0.09968913775850335
RPL38,YLR325C,279,0.025848218523115658,-0.025848218523115658,0.025848218523115658,0.0001356792295978295,0.025983897752713488,0.0,0,12.986098756585514,-10.544483118919919,0.0196078431372549,1.0,5,5041,3,0.0,0.0
RPB10,YOR210W,142,0.02380539386554066,-0.02380539386554066,0.02380539386554066,0.00027355872323140724,0.02407895258877207,0.0,0,11.93942885956341,-9.69460562552458,0.0196078431372549,1.0,6,5040,4,0.0,0.0
SPT4,YGR063C,64,0.02204046816107915,-0.02204046816107915,0.02204046816107915,0.0005514778813727438,0.022591946042451894,0.0,1,11.03514439320432,-8.960342590185393,0.0196078431372549,1.0,7,5039,5,0.0,0.0
MPT5,YGL178W,356,0.02168756872760802,-0.02168756872760802,0.02168756872760802,0.049416339227162875,0.0711039079547709,0.8453795587796131,0,10.854331413333174,-8.81352564002428,0.058823529411764705,0.11764705882352941,8,5038,6,6.092852383188896,0.23623640719260225
GIS2,YNL255C,133,0.01938175626529128,-0.01938175626529128,0.01938175626529128,0.004579362560338558,0.023961118825629835,1.07080183374792,0,9.672916021886762,-7.854237182032116,0.0196078431372549,0.0196078431372549,9,5037,7,8.292656853425642,0.29601757773226367
MRPL39,YML009C,159,0.019167828252771715,-0.019167828252771715,0.019167828252771715,8.364301615640636e-05,0.019251471268928122,0.0,0,9.563307000865937,-7.765236590438024,0.0196078431372549,0.9803921568627451,10,5036,8,0.0,0.0
SBH1,YER087C-B,41,0.01794657144746413,-0.01794657144746413,0.01794657144746413,0.0022811611452754083,0.020227732592739536,0.0,0,8.937578928753165,-7.257156433564008,0.0196078431372549,1.0,11,5035,9,0.0,0.0
RPL37A,YLR185W,246,0.0166449585879176,-0.0166449585879176,0.0166449585879176,0.00014209613478481997,0.01678705472270242,0.0,0,8.270679303955486,-6.715645702165402,0.0196078431372549,0.5490196078431373,12,5034,10,0.45937242581713644,2.110230256011205
HSC82,YMR186W,297,0.015882333122364856,0.015882333122364856,-0.015882333122364856,0.025820043894037144,0.009937710771672287,0.0384829886152768,0,7.879937438501366,-6.398370200002226,0.6470588235294118,0.17647058823529413,13,3,5041,11.095908121039004,0.03704582602942201
RPL39,YJL189W,235,0.015281942395870716,-0.015281942395870716,0.015281942395870716,0.0001484200605579943,0.01543036245642871,0.0,1,7.572318819574656,-6.148589307746713,0.0196078431372549,1.0,14,5033,11,0.0,0.0
HHT1,YBR010W,287,0.015153017273013306,0.015153017273013306,-0.015153017273013306,0.015705288647740543,0.0005522713747272367,0.1615866065158986,1,7.506262222614977,-6.094952516236759,0.13725490196078433,0.11764705882352941,15,4,5040,8.86405431670844,0.3628989586735887
TOM5,YPR133W-A,28,0.014587383455663561,-0.014587383455663561,0.014587383455663561,0.0013487403292997422,0.015936123784963303,0.0,0,7.216451794117178,-5.859631560477643,0.0196078431372549,0.21568627450980393,16,5032,12,0.0,0.0
LSM7,YNL147W,95,0.014306218531848375,-0.014306218531848375,0.014306218531848375,0.0022929350752401733,0.016599153607088548,0.0,0,7.072392997506992,-5.7426583587901305,0.0196078431372549,0.5490196078431373,17,5031,13,0.4669094815557561,2.180044639666649
RPC10,YHR143W-A,137,0.013987236092612008,-0.013987236092612008,0.013987236092612008,0.0001016351630912234,0.014088871255703232,0.0,0,6.908957865867394,-5.609951914852281,0.0196078431372549,1.0,18,5030,14,0.0,0.0
SSA1,YAL005C,208,0.013565438681649281,-0.013565438681649281,0.013565438681649281,0.02292255973136401,0.03648799841301329,0.4344519726936156,1,6.692844039818014,-5.434471300292249,0.058823529411764705,0.19607843137254902,19,5029,15,11.640704902275298,0.4087053417073273
CDC48,YDL126C,126,0.0132580837135489,-0.0132580837135489,0.0132580837135489,0.009130331283475504,0.022388414997024403,0.5910905962699609,0,6.535366406278607,-5.306602239723027,0.0196078431372549,0.21568627450980393,20,5028,16,9.718018685541995,0.06255987648831053
ATG17,YLR423C,41,0.01263558817694902,-0.01263558817694902,0.01263558817694902,0.0013402102757389407,0.01397579845268796,2.944656768225004,0,6.2164220775161185,-5.047625070863457,0.0196078431372549,0.0392156862745098,21,5027,17,4.03961949155791,2.0746765761205426
LSM3,YLR438C-A,90,0.011099844135233936,-0.011099844135233936,0.011099844135233936,0.0006157546216264725,0.011715598756860408,0.0,0,5.42956205405117,-4.408708611817473,0.0196078431372549,0.4117647058823529,22,5026,18,0.22689942350683973,0.5148334838773622
RPS21B,YJL136C,236,0.010701440200598366,-0.010701440200598366,0.010701440200598366,1.136243682239754e-05,0.010712802637420762,0.0,1,5.225434204070534,-4.24296039839574,0.0196078431372549,0.43137254901960786,23,5025,19,0.6802813597532287,4.627827284277018
SMX3,YPR182W,97,0.010582033987965351,-0.010582033987965351,0.010582033987965351,9.997355022151691e-05,0.010682007538186869,0.0,0,5.164254754421264,-4.1932837644702206,0.0196078431372549,0.9803921568627451,24,5024,20,0.0,0.0
HTL1,YCR020W-B,29,0.010217813925808372,-0.010217813925808372,0.010217813925808372,0.0005681412418170999,0.010785955167625472,0.0,1,4.97764149148769,-4.041757086777911,0.0196078431372549,0.9803921568627451,25,5023,21,0.0,0.0
ACT1,YFL039C,178,0.010208821001124115,0.010208821001124115,-0.010208821001124115,0.013901739072935263,0.003692918071811149,0.1910705017851199,0,4.97303384025424,-4.0380157552541265,0.058823529411764705,0.29411764705882354,26,5,5039,11.74313062105141,0.027157579717121745
ATG1,YGL180W,65,0.010121007736560206,-0.010121007736560206,0.010121007736560206,0.00437452886332077,0.014495536599880976,0.2439052902703249,1,4.92804148115114,-4.001482753316002,0.0196078431372549,0.058823529411764705,27,5022,22,5.449442831674414,0.35809193860878247
SEC61,YLR378C,247,0.009954916352575543,0.009954916352575543,-0.009954916352575543,0.026252079613833232,0.01629716326125769,0.5786238531291783,0,4.842942228443933,-3.932383661246585,0.09803921568627451,0.47058823529411764,28,6,5038,9.022365749709474,0.13299801574387646
PHO88,YBR106W,69,0.00987002578853402,-0.00987002578853402,0.00987002578853402,0.008238286054354296,0.018108311842888317,0.1356989979055836,1,4.799447355991706,-3.897066592053691,0.058823529411764705,0.058823529411764705,29,5021,23,9.368356614745203,0.03416106054071941
LSM8,YJR022W,68,0.009812100773656022,-0.009812100773656022,0.009812100773656022,0.0010874826423328706,0.010899583415988892,0.0,0,4.769768661282132,-3.8729680154740254,0.0196078431372549,0.9215686274509803,30,5020,24,0.0,0.0
SAM37,YMR060C,26,0.009529017611144174,-0.009529017611144174,0.009529017611144174,0.0008903436267054596,0.010419361237849634,0.2066222846324734,0,4.624727028141335,-3.7551967678606393,0.0196078431372549,0.0392156862745098,31,5019,25,5.70260336614355,0.1905611501430225
SLX5,YDL013W,54,0.009416385637770286,-0.009416385637770286,0.009416385637770286,0.0004602261456060306,0.009876611783376316,0.4813217241613152,1,4.5670184550949395,-3.708338424511288,0.0196078431372549,0.0392156862745098,32,5018,26,5.328517777134879,0.29254594054022154
RPN11,YFR004W,412,0.009357044013977175,0.009357044013977175,-0.009357044013977175,0.03895672661663538,0.029599682602658203,0.1094618434566481,0,4.5366139409168165,-3.683650495326428,0.8235294117647058,0.39215686274509803,33,7,5037,7.529765016014205,0.05415298016878242
LSM6,YDR378C,79,0.009093535863065718,-0.009093535863065718,0.009093535863065718,0.00019913093584984082,0.009292666798915558,0.0,1,4.40160183982617,-3.57402305081941,0.0196078431372549,0.2549019607843137,34,5017,27,0.13640008437633871,0.18604983017872317
RPA190,YOR341W,58,0.008933941678238445,-0.008933941678238445,0.008933941678238445,0.0001301329101368776,0.009064074588375323,0.7766763216963888,0,4.3198315183357385,-3.507626992176528,0.0196078431372549,0.0392156862745098,35,5016,28,8.48094360553149,0.11998131237507846
PRP3,YDR473C,49,0.008896647490577267,-0.008896647490577267,0.008896647490577267,0.00017853600476096013,0.009075183495338228,2.153679060190272,0,4.300723317632313,-3.4921114702690708,0.0196078431372549,0.0196078431372549,36,5015,29,5.409097459685848,1.223563793612009
HIS7,YBR248C,2,0.008892680023804802,-0.008892680023804802,0.008892680023804802,0.0,0.008892680023804802,0.1127412061083115,0,4.298690530323438,-3.4904608828321075,0.0196078431372549,0.0196078431372549,37,5014,30,6.538363174384595,0.09714042009450773
WHI3,YNL197C,89,0.00872945088370599,-0.00872945088370599,0.00872945088370599,0.018094062969365488,0.026823513853071478,0.6518813940262165,0,4.215057788460493,-3.422552571699359,0.6862745098039216,0.0196078431372549,38,5013,31,6.27719398067195,0.17277262483608324
MBA1,YBR185C,19,0.008545987162297274,-0.008545987162297274,0.008545987162297274,7.727796725485556e-05,0.00862326512955213,0.4679136652882389,1,4.121057574745575,-3.3462260563023336,0.0196078431372549,0.0392156862745098,39,5012,32,5.521477342835886,0.3368130651336385
XRN1,YGL173C,186,0.00847946174700787,-0.00847946174700787,0.00847946174700787,0.002276737419824109,0.010756199166831978,0.9571280093415844,1,4.086972344125258,-3.3185494502932995,0.09803921568627451,0.11764705882352941,40,5011,33,8.647658679911482,0.16951618019486014
RPS27B,YHR021C,247,0.008387589567406336,-0.008387589567406336,0.008387589567406336,2.5298084089236087e-07,0.008387842548247228,0.0,1,4.0399003429105855,-3.280327815644927,0.0392156862745098,1.0,41,5010,34,0.0,0.0
RUB1,YDR139C,134,0.008360245982939893,-0.008360245982939893,0.008360245982939893,0.00012378496330093237,0.008484030946240825,0.0,0,4.025890473472412,-3.2689520487916077,0.0392156862745098,1.0,42,5009,35,0.0,0.0
SNF7,YLR025W,34,0.008250743900019838,-0.008250743900019838,0.008250743900019838,0.0011965879785756795,0.009447331878595517,1.433382418022755,0,3.9697855437474625,-3.2233958355314165,0.0196078431372549,0.0196078431372549,43,5008,36,5.9587217358482585,0.7598219707105748
SKP1,YDR328C,85,0.00806625669510018,-0.00806625669510018,0.00806625669510018,0.0038710573298948625,0.011937314024995042,0.2963305849152871,0,3.875260933884775,-3.146643519712615,0.11764705882352941,0.17647058823529413,44,5007,37,7.429046065078969,0.09533113143931654
SPC24,YMR117C,58,0.00786907359650863,-0.00786907359650863,0.00786907359650863,0.0010283673874231303,0.00889744098393176,3.2173186561650806,0,3.774231404633687,-3.0646093240955294,0.0196078431372549,0.0196078431372549,45,5006,38,5.366764690079194,3.2284022393037963
BMH1,YER177W,97,0.007715808465818383,0.007715808465818383,-0.007715808465818383,0.008238720586429374,0.0005229121206109899,0.1868448213112756,1,3.695703862897888,-3.000846345411612,0.1568627450980392,0.058823529411764705,46,8,5036,10.157828730766107,0.032172396544723675
ERG25,YGR060W,25,0.007705217218805793,-0.007705217218805793,0.007705217218805793,0.0016762547113667924,0.009381471930172585,0.2133016351787642,0,3.6902772887771493,-2.996440062948938,0.0196078431372549,0.058823529411764705,47,5005,39,8.997605650412964,0.19203563169962437
SNC1,YAL030W,36,0.007519143027177148,-0.007519143027177148,0.007519143027177148,0.0001341003769093434,0.007653243404086491,5.744325742302296,0,3.594939563990912,-2.9190275121553504,0.0196078431372549,0.0196078431372549,48,5004,40,3.2428746332237757,7.553065893904588
TOP2,YNL088W,33,0.0074659789724261065,-0.0074659789724261065,0.0074659789724261065,0.0001737750446340012,0.007639754017060108,0.6209097696079571,0,3.5677002140519867,-2.8969096405000396,0.0196078431372549,0.0784313725490196,49,5003,41,6.836424392902552,0.0682773891470559
SSS1,YDR086C,93,0.0072521325133902016,-0.0072521325133902016,0.0072521325133902016,0.0016576076175362033,0.008909740130926404,0.0,0,3.458132978103624,-2.8079429776477083,0.0196078431372549,1.0,50,5002,42,0.0,0.0
MLP2,YIL149C,164,0.007156913310851021,-0.007156913310851021,0.007156913310851021,0.0035354096409442575,0.010692322951795279,0.6347932969093959,0,3.409346082690623,-2.768328879160584,0.43137254901960786,0.27450980392156865,51,5001,43,6.358673247450537,0.11122767924183741
UBC9,YDL064W,36,0.007136679230311446,-0.007136679230311446,0.007136679230311446,0.001376710970045626,0.008513390200357072,0.5656255866314073,0,3.398978867415361,-2.7599108832320707,0.0196078431372549,0.0392156862745098,52,5000,44,7.133774841956933,0.38653940155114463
SLT2,YHR030C,57,0.007133240759108643,-0.007133240759108643,0.007133240759108643,0.0030893341268266876,0.01022257488593533,0.4297792302124943,1,3.397217118414336,-2.758480374120036,0.0784313725490196,0.09803921568627451,53,4999,45,6.559180488488589,0.10554450744292954
COX8,YLR395C,41,0.007075672816240168,-0.007075672816240168,0.007075672816240168,0.0016555313099252753,0.008731204126165444,0.0,0,3.3677213745625614,-2.7345303504096967,0.058823529411764705,1.0,54,4998,46,0.0,0.0
PET112,YBL080C,11,0.007062090854989089,-0.007062090854989089,0.007062090854989089,0.0017663162071017656,0.008828407062090855,1.4470971649053048,1,3.3607624660085103,-2.7288798394171567,0.0196078431372549,0.058823529411764705,55,4997,47,4.8521100541620275,1.1899932280974523
RPB3,YIL021W,205,0.006950986671200917,-0.006950986671200917,0.006950986671200917,0.008348358696781627,0.015299345367982544,0.2110813515256779,0,3.303836677408359,-2.68265710323004,0.0196078431372549,0.49019607843137253,56,4996,48,6.396187424649165,0.07193994756352708
LSM5,YER146W,88,0.006936106781534277,-0.006936106781534277,0.006936106781534277,0.00016770859901191188,0.007103815380546189,0.0,0,3.29621275700612,-2.6764666143474085,0.17647058823529413,0.5098039215686274,57,4995,49,0.08748504636185665,0.07653633336936211
SOD1,YJR104C,15,0.006916881571116842,-0.006916881571116842,0.006916881571116842,9.204522912120612e-05,0.007008926800238048,0.8197392305699598,1,3.2863624505036855,-2.6684683392242934,0.0196078431372549,0.0196078431372549,58,4994,50,10.15069972646546,0.22120008750609133
SPC2,YML055W,10,0.0067756397540170606,-0.0067756397540170606,0.0067756397540170606,0.00025471136679230315,0.007030351120809364,1.3099672131385276,0,3.2139952223077355,-2.6097074264683937,0.0196078431372549,0.0392156862745098,59,4993,51,6.6261848475044385,0.3414597863273545
DAD4,YDR320C-A,21,0.0066518547907161284,-0.0066518547907161284,0.0066518547907161284,0.00016028565760761756,0.006812140448323746,0.0,0,3.1505722582708353,-2.558209098435133,0.0196078431372549,0.803921568627451,60,4992,52,0.0,0.0
RPS29A,YLR388W,222,0.0066034649209812885,-0.0066034649209812885,0.0066034649209812885,0.0,0.0066034649209812885,0.0,0,3.125779029060257,-2.538077433662302,0.0196078431372549,1.0,61,4991,53,0.0,0.0
SIN3,YOL004W,64,0.006511501461585471,-0.006511501461585471,0.006511501461585471,0.0013095068326507873,0.007821008294236258,0.8944679249137115,0,3.078660259361305,-2.4998178238296793,0.0196078431372549,0.0392156862745098,62,4990,54,7.482626988801923,0.14938366130952246
MRPL33,YMR286W,109,0.006324803279772533,-0.006324803279772533,0.006324803279772533,9.786418038748926e-06,0.006334589697811282,0.0,0,2.9830028244425724,-2.42214567404811,0.0196078431372549,0.45098039215686275,63,4989,55,0.13640008437633871,0.18604983017872317
SSD1,YDR293C,57,0.006282096333871776,-0.006282096333871776,0.006282096333871776,0.0015548407817798813,0.007836937115651657,1.0905882487548697,1,2.9611213210534677,-2.4043782792802246,0.0196078431372549,0.0784313725490196,64,4988,56,7.71220954386154,0.25656788308537576
TIM9,YEL020W-A,20,0.00616464987105733,-0.00616464987105733,0.00616464987105733,0.00024677643324737156,0.006411426304304702,0.0,0,2.900945976740984,-2.355516961176017,0.0392156862745098,0.9803921568627451,65,4987,57,0.0,0.0
BET1,YIL004C,60,0.006076307610923759,-0.006076307610923759,0.006076307610923759,0.0003136943728096278,0.006390001983733387,3.719130317982128,0,2.8556825793300344,-2.318763880912964,0.0196078431372549,0.0392156862745098,66,4986,58,4.318036766539683,3.2077036899638705
CHC1,YGL206C,54,0.006013984375737993,-0.006013984375737993,0.006013984375737993,0.0030691340531451665,0.00908311842888316,0.8886894631457487,1,2.823750394689476,-2.292835510260319,0.058823529411764705,0.0784313725490196,67,4985,59,8.87618792595628,0.17668389116585537
ATP15,YPL271W,32,0.0059839846591284804,-0.0059839846591284804,0.0059839846591284804,1.879256761224624e-05,0.006002777226740727,0.0,0,2.808379618652513,-2.280354711254824,0.0196078431372549,1.0,68,4984,60,0.0,0.0
PRP11,YDL043C,86,0.00596558222574886,-0.00596558222574886,0.00596558222574886,0.0005279706407458838,0.006493552866494744,1.1268923383518086,1,2.7989508735181814,-2.272698736526375,0.0196078431372549,0.0196078431372549,69,4983,61,5.66317600382064,0.5169318767318161
NOP58,YOR310C,240,0.005702320968061891,-0.005702320968061891,0.005702320968061891,0.002641261654433645,0.008343582622495536,0.2882228430859044,0,2.6640652716377793,-2.163174007146662,0.09803921568627451,1.0,70,4982,62,8.407079711459108,0.0479548399803024
RPS3,YNL178W,416,0.00570066938722834,0.00570066938722834,-0.00570066938722834,0.010183510093437426,0.004482840706209086,0.5157255949647244,0,2.6632190610075295,-2.162486899041836,0.3137254901960784,0.43137254901960786,71,9,5035,11.266902262754153,0.17196410722408764
CDC55,YGL190C,66,0.005699266018647094,-0.005699266018647094,0.005699266018647094,0.0022475699266018647,0.007946835945248958,0.5621431187080779,0,2.6625000254099462,-2.161903054820201,0.0392156862745098,0.0784313725490196,72,4981,63,6.50180876127861,0.14071364642137282
DSN1,YIR010W,66,0.005678370693645441,-0.005678370693645441,0.005678370693645441,0.003229385703894731,0.008907756397540172,0.3942735905571934,0,2.651794012249871,-2.153209960985526,0.0392156862745098,0.29411764705882354,73,4980,64,5.421372315862252,0.31133403779349583
RPS29B,YDL061C,185,0.0056529704904630515,-0.0056529704904630515,0.0056529704904630515,2.1640727849813352e-06,0.0056551345632480324,0.0,0,2.6387798614999918,-2.142642700142882,0.0196078431372549,0.9803921568627451,74,4979,65,0.0,0.0
RPS21A,YKR057W,179,0.005528306968281714,-0.005528306968281714,0.005528306968281714,2.0205366540069865e-06,0.005530327504935721,0.0,0,2.574906755484693,-2.0907788647635495,0.0196078431372549,0.45098039215686275,75,4978,66,0.5600858464219137,3.1369615536215156
SET2,YJL168C,51,0.005460821265621901,-0.005460821265621901,0.005460821265621901,0.00023487403292997422,0.005695695298551875,0.1033102054648313,1,2.5403295081465584,-2.0627027498586954,0.0196078431372549,0.27450980392156865,76,4977,67,5.887988595172535,0.12287536534647006
RPS28A,YOR167C,254,0.005458894191248884,-0.005458894191248884,0.005458894191248884,3.7673949992934324e-05,0.005496568141241818,0.0,0,2.539342144533103,-2.0619010280214085,0.0392156862745098,1.0,77,4976,68,0.0,0.0
BRO1,YPL084W,15,0.005454473318785956,-0.005454473318785956,0.005454473318785956,0.0007316008728426899,0.006186074191628646,0.4740307902458012,0,2.5370770484523586,-2.0600618099595542,0.0196078431372549,0.13725490196078433,78,4975,69,6.120684027566947,0.06940463000541712
HEK2,YBL032W,67,0.005408318455332937,0.005408318455332937,-0.005408318455332937,0.006136745354757654,0.0007284268994247173,0.2775520698048872,1,2.513428956092446,-2.0408599761095454,0.0196078431372549,0.0784313725490196,79,10,5034,7.493984427902644,0.04012637425406138
ERV25,YML012W,45,0.005281095020829201,-0.005281095020829201,0.005281095020829201,0.006212656219004166,0.011493751239833367,1.0000395471597177,0,2.448244243054521,-1.98793113896425,0.5098039215686274,0.0196078431372549,80,4974,70,8.120715060135606,0.181475873854534
MEC3,YLR288C,22,0.00510612973616346,-0.00510612973616346,0.00510612973616346,0.00011108906962904186,0.005217218805792502,0.32981194867026,0,2.358598322733133,-1.9151402329941603,0.0196078431372549,0.0196078431372549,81,4973,71,5.317855222260182,0.1402275265292355
SKI8,YGL213C,146,0.0049069629041856785,-0.0049069629041856785,0.0049069629041856785,0.0013624280896647489,0.006269390993850427,0.4822316103127511,1,2.256552399827608,-1.8322807436585937,0.0196078431372549,0.11764705882352941,82,4972,72,6.309929751227077,0.12236426090736591
SMX2,YFL017W-A,100,0.004898505587515705,-0.004898505587515705,0.004898505587515705,0.00046669972888977064,0.005365205316405476,0.0,0,2.252219174880856,-1.8287622414388,0.0196078431372549,0.9803921568627451,83,4971,73,0.0,0.0
RTC6,YPL183W-A,155,0.004884683374110075,-0.004884683374110075,0.004884683374110075,5.018404637527827e-05,0.004934867420485354,0.0,0,2.2451371697619917,-1.823011778207023,0.0196078431372549,0.5686274509803921,84,4970,74,0.16799371854785566,0.2822188947153615
STE11,YLR362W,30,0.004836644734064208,-0.004836644734064208,0.004836644734064208,0.0005911366154959055,0.005427781349560113,0.0466353460757265,0,2.2205238980142457,-1.8030262357196087,0.11764705882352941,0.0784313725490196,85,4969,75,5.497312144582843,0.14999783240337428
YPT1,YFL038C,84,0.004759637638034782,0.004759637638034782,-0.004759637638034782,0.005324604906433909,0.0005649672683991272,0.1441174212195228,0,2.1810682310913827,-1.7709889301660162,0.0784313725490196,0.1568627450980392,86,11,5033,8.670223938233844,0.04613490372748459
TOR2,YKL203C,66,0.004743371024267672,-0.004743371024267672,0.004743371024267672,0.001178866626991999,0.005922237651259671,0.2156728655103554,0,2.172733803124995,-1.7642215216744659,0.3333333333333333,0.0784313725490196,87,4968,76,5.991540760010548,0.08847015854983603
VPS34,YLR240W,20,0.004729220392779211,-0.004729220392779211,0.004729220392779211,0.00013171989684586393,0.004860940289625075,0.0927651392965778,0,2.165483528390008,-1.7583344264826297,0.0392156862745098,0.0196078431372549,88,4967,77,5.48566253725923,0.1874597883303143
COX4,YGL187C,66,0.004711895787872777,-0.004711895787872777,0.004711895787872777,0.0013662633075447992,0.006078159095417576,1.7481299034997075,0,2.1566070238079202,-1.7511268613412225,0.058823529411764705,0.058823529411764705,89,4966,78,6.110504919472953,0.6862371703211827
VPS29,YHR012W,14,0.004710176552271374,-0.004710176552271374,0.004710176552271374,6.347946835945249e-05,0.004773656020630827,0.8786506054457499,1,2.155726149307407,-1.7504116067852042,0.058823529411764705,0.058823529411764705,90,4965,79,6.332154753009189,0.5144013889327942
KRR1,YCL059C,244,0.0046955460462304345,-0.0046955460462304345,0.0046955460462304345,0.0025526190003873,0.007248165046617735,0.0682441981691717,0,2.148230004107442,-1.7443248691128976,0.17647058823529413,0.37254901960784315,91,4964,80,6.952607895042287,0.07356030931192979
KOG1,YHR186C,92,0.004645090597509677,-0.004645090597509677,0.004645090597509677,0.004100863263560471,0.008745953861070148,0.6430071602582634,0,2.122378446500217,-1.7233338603506294,0.17647058823529413,0.13725490196078433,92,4963,81,6.024697471634147,0.11879302820145105
SED5,YLR026C,64,0.0046391588970442375,0.0046391588970442375,-0.0046391588970442375,0.0053104542749454475,0.0006712953779012101,0.1592894209413202,0,2.1193392564785447,-1.7208660916635583,0.19607843137254902,0.3137254901960784,93,12,5032,6.2051438121758276,0.12106032211325352
RED1,YLR263W,9,0.004579250148780004,-0.004579250148780004,0.004579250148780004,0.0007752430073398135,0.005354493156119818,0.5482197810848195,0,2.088644168114532,-1.6959422213654096,0.0196078431372549,0.0784313725490196,94,4961,82,4.335152773991204,0.3230834905148861
WSS1,YHR134W,9,0.004579250148780004,-0.004579250148780004,0.004579250148780004,0.0007339813529061694,0.005313231501686173,0.7306820436852455,1,2.088644168114532,-1.6959422213654096,0.0392156862745098,0.09803921568627451,95,4961,82,5.246061521236312,0.5823739244111018
SAC6,YDR129C,20,0.004576869668716525,-0.004576869668716525,0.004576869668716525,0.0003769093433842492,0.004953779012100774,0.4037233146248464,1,2.0874244957292074,-1.694951868903232,0.0196078431372549,0.11764705882352941,96,4960,84,8.5240020751541,0.07983631587751358
COX14,YML129C,13,0.004537195000991867,-0.004537195000991867,0.004537195000991867,0.0,0.004537195000991867,0.0,0,2.0670966226404572,-1.678445994533597,0.0196078431372549,0.7058823529411765,97,4959,85,0.0,0.0
HRR25,YPL204W,100,0.004509422733584605,-0.004509422733584605,0.004509422733584605,0.011466375719103354,0.01597579845268796,0.1884973954496871,0,2.0528671114783315,-1.666891882474852,0.9411764705882353,0.39215686274509803,98,4958,86,6.771886880275739,0.11190639140528484
RDS1,YCR106W,16,0.004486902181230376,-0.004486902181230376,0.004486902181230376,0.0018451110532190255,0.006332013234449402,4.056805136271705,0,2.041328390264019,-1.6575226443888917,0.0196078431372549,0.058823529411764705,99,4957,87,4.050949429297096,4.846021707559329
SME1,YOR159C,106,0.0044798849434636,0.0044798849434636,-0.0044798849434636,0.004757607617536204,0.00027772267407260464,2.761517728855809,0,2.037733009963758,-1.6546032590066597,0.0392156862745098,0.0392156862745098,100,13,5031,1.3058849586801742,3.516497343130335
MRPS5,YBR251W,174,0.004445363889125049,-0.004445363889125049,0.004445363889125049,0.001105915618909072,0.005551279508034121,1.921935566485632,1,2.0200456630563064,-1.6402414453180394,0.0784313725490196,0.09803921568627451,101,4956,88,5.867459516973051,0.8775840820697876
MTR4,YJL050W,188,0.004434305362692587,0.004434305362692587,-0.004434305362692587,0.005080208953250016,0.0006459035905574291,0.5625484926472772,0,2.0143796717636318,-1.6356407603350103,0.0784313725490196,0.23529411764705882,102,14,5030,7.320501184670081,0.0792568962809219
ANP1,YEL036C,23,0.004420154731204127,-0.004420154731204127,0.004420154731204127,0.0003562785161674271,0.004776433247371554,0.1007331990841429,1,2.0071293970286446,-1.6297536651431743,0.0196078431372549,0.058823529411764705,103,4955,89,6.510317249045761,0.07679566890141419
SNZ2,YNL333W,8,0.004384844276929181,0.004384844276929181,-0.004384844276929181,0.004384844276929181,0.0,3.6781323828063055,0,1.9890375899796569,-1.6150634369541992,0.09803921568627451,0.09803921568627451,104,15,5029,3.694184926765412,4.5583703483922715
STH1,YIL126W,57,0.004380837507273025,-0.004380837507273025,0.004380837507273025,0.0007107448507247263,0.005091582357997751,0.7325658837681486,0,1.9869846652864636,-1.6133964983163873,0.058823529411764705,0.11764705882352941,105,4954,90,7.006933339800581,0.08535387024594529
CLN2,YPL256C,38,0.0043594524895854,-0.0043594524895854,0.0043594524895854,0.0015687363618329697,0.00592818885141837,0.4069970127327655,0,1.9760277512028568,-1.6044996773576328,0.0196078431372549,0.058823529411764705,106,4953,91,6.692947176648934,0.08658392634138948
RPL43A,YPR043W,216,0.004352394177270194,-0.004352394177270194,0.004352394177270194,0.0,0.004352394177270194,0.0,0,1.9724113257809726,-1.601563203707873,0.058823529411764705,1.0,107,4952,92,0.0,0.0
IMD4,YML056C,16,0.004344772862527276,-0.004344772862527276,0.004344772862527276,2.737552073001389e-05,0.004372148383257291,0.1179079894163717,0,1.9685064381600192,-1.598392503840868,0.0196078431372549,0.09803921568627451,108,4951,93,8.580347444376082,0.08630469457947337
TOR1,YJR066W,65,0.0043353170667195665,-0.0043353170667195665,0.0043353170667195665,0.002240759108642465,0.0065760761753620315,0.4143162857906013,1,1.9636616284072006,-1.5944586037827717,0.23529411764705882,0.09803921568627451,109,4950,94,6.087892907266887,0.06101019393553034
