gene_orf	gene_symbol
RP11-375E1__A.1	PACSIN1
RP11-315I20.4	TXNIP
RP11-7O11.4	IPO13
RP4-654A7.1	PLCB1
RP5-1073O3.4	AP4B1
FKSG14	CENPK
DAAP-21F2.6	LSM2
PP1629	HSPB8
RP5-1103G7.7	TRIB3
UNQ184/PRO210	FBLN5
CGI-123	RNF11
RP11-205M20.5	TOPORS
CGI-55	SERBP1
HCG_20812	SYMPK
RP3-324N14.1	EPB41L2
RP11-421P11.3	EXOSC8
RP11-498J9.3	NANOS1
RP3-337H4.4	POLR1C
RP1-130E4.2	SYNE1
MY036	ING4
CGI-120	COPZ1
RP11-450P7.2	CNKSR2
RP11-164H16.2	EXOC2
UNQ3116/PRO10200	LIN7B
PRED77	TCP10L
RP11-478C1.1	MXD4
PP2243	UBXN11
RP11-227D2.1	XRN2
RP3-511B24.3	ZHX3
RP1-127C7.3	ARPC5
RP5-899C14.1	PHACTR3
RP11-419L10.1	ARID1B
RP11-114F7.3	DNMBP
RP3-383J4.3	KLHL20
RP11-452K12.9	EXOSC1
RP3-329L24.1	ASF1A
HDCKB03P	GOLGA7
RP4-533D7.1	MAST2
DMEL_CG10043	RtGEF
DMEL_CG16728	Git
DMEL_CG10059	MAGE
DMEL_CG13142	CG13142
DMEL_CG1007	emc
DMEL_CG3827	sc
DMEL_CG10103	CG10103
DMEL_CG6842	Vps4
DMEL_CG10108	phyl
DMEL_CG13030	sinah
DMEL_CG1856	ttk
DMEL_CG9949	sina
DMEL_CG10128	tra2
DMEL_CG42320	Doa
DMEL_CG17136	Rbp1
DMEL_CG10158	CG10158
DMEL_CG17494	CG17494
DMEL_CG10159	BEAF-32
DMEL_CG10164	CG10164
DMEL_CG5000	msps
DMEL_CG1017	Mfap1
DMEL_CG30342	Prp38
DMEL_CG10176	CG10176
DMEL_CG7662	veli
DMEL_CG10209	CG10209
DMEL_CG10215	Ercc1
DMEL_CG3697	mei-9
DMEL_CG10229	Kat60
DMEL_CG13956	kat80
DMEL_CG10230	Rpn9
DMEL_CG1100	Rpn5
DMEL_CG10238	Mocs2
DMEL_CG13090	CG13090
DMEL_CG42783	aPKC
DMEL_CG5884	par-6
DMEL_CG10263	Hakai
DMEL_CG3496	vir
DMEL_CG10306	CG10306
DMEL_CG5642	CG5642
DMEL_CG10318	NC2alpha
DMEL_CG4185	NC2beta
DMEL_CG10346	Grip71
DMEL_CG7210	kel
DMEL_CG10415	TfIIEalpha
DMEL_CG1276	TfIIEbeta
DMEL_CG10418	CG10418
DMEL_CG2021	CG2021
DMEL_CG10419	Gem2
DMEL_CG16725	Smn
DMEL_CG1046	zen
DMEL_CG12399	Mad
DMEL_CG10460	cer
DMEL_CG10992	CtsB1
DMEL_CG10540	cpa
DMEL_CG17158	cpb
DMEL_CG10566	CG10566
DMEL_CG6167	PICK1
DMEL_CG10574	I-2
DMEL_CG5650	Pp1-87B
DMEL_CG10619	tup
DMEL_CG10699	Lim3
DMEL_CG3924	Chi
DMEL_CG10654	CG10654
DMEL_CG17801	CG17801
DMEL_CG4730	CG4730
DMEL_CG10679	Nedd8
DMEL_CG8493	Den1
DMEL_CG1071	E2f2
DMEL_CG4654	Dp
